key,brand_guess,type_guess,issuer_guess,desc
372301,AMEX,prepaid,Unknown,American Express Gift Card (Canada)
412266,VISA,prepaid,TD,TD Bank Gift Card
412983,VISA,credit,MBNA,MBNA (Europe) University of Cambridge VISA Credit Card
418221,VISA,credit,TD,TD Bank in the United States
421402,VISA,prepaid,Unknown,Citizens Bank of Canada/Vancouver City Savings Credit Union Visa Gift Card
423966,VISA,debit,National Bank,Suffolk County National Bank Visa Debit (NY)
427557,VISA,debit,RBC,RBC Centura Bank Visa Debit Card (Pocket Check Card)
428434,VISA,prepaid,Unknown,Citizens Bank of Canada (Canada) Prepaid Visa Gift Card
433507,VISA,credit,MBNA,MBNA - Visa
433991,VISA,debit,National Bank,Palm Desert National Bank as Cingular Wireless' rebate debit card
436773,VISA,credit,National Bank,National Bank of New Zealand Visa Credit Card
441822,VISA,credit,National Bank,1st National Bank of Omaha
442162,VISA,credit,MBNA,MBNA EUROPE BANK LIMITED Classic Visa Credit Card
450003,VISA,credit,CIBC,CIBC Infinite Aerogold (VISA credit card)
450060,VISA,credit,CIBC,CIBC Aerogold (VISA credit card)
450065,VISA,credit,CIBC,CIBC Platinum (VISA credit card)
451503,VISA,credit,RBC,Royal Bank of Canada (CA) - VISA
452088,VISA,credit,TD,TD Bank CAD VISA infinite
453801,VISA,credit,Scotiabank,ScotiaBank - Visa Gold
453826,VISA,credit,Scotiabank,ScotiaBank - Visa Infinite
455121,VISA,credit,TD,GM-Visa Card (CAD) issued by TDCanada Trust
461983,VISA,unknown,Unknown,Best Buy Reward Zone/Chase (Canada)
472926,VISA,prepaid,Peoples Trust,"Peoples Trust Vanilla Prepaid Visa Card, Canada"
478901,VISA,credit,Vancity,Vancity Visa credit card (Canada)
478907,VISA,credit,Vancity,Vancity Visa credit card (Canada)
478986,VISA,credit,CIBC,CIBC US Dollar Visa (Canada)
479056,VISA,debit,National Bank,First National Bank (South Africa) Visa Electron Debit Card
479213,VISA,debit,TD,TD Banknorth Visa Debit Card
