key,brand_guess,type_guess,issuer_guess,desc
4029,VISA,debit,TD,TD Bank Debit Card
4482,VISA,credit,TD,TD Bank
4500,VISA,credit,CIBC,Canadian Imperial Bank of Commerce (CIBC) Visa &amp; MBNA Quantum Visa Credit Cards
4502,VISA,credit,CIBC,CIBC VISA
4503,VISA,credit,CIBC,CIBC VISA
4504,VISA,credit,CIBC,CIBC VISA
4505,VISA,credit,CIBC,CIBC VISA
4510,VISA,credit,RBC,Royal Bank of Canada (CA) - Visa
4512,VISA,credit,RBC,Royal Bank of Canada (CA) - Visa
4514,VISA,credit,RBC,Royal Bank of Canada RBC AVION Visa (Platinum/Infinite)
4516,VISA,credit,RBC,RBC Banque Royale VISA BUSINESS (Affaires) - VISA
4519,VISA,debit,RBC,Royal Bank of Canada (CA) - Client Card (ATM/INTERAC)
4520,VISA,credit,TD,TD Bank CAD VISA
4530,VISA,credit,Desjardins,VISA Desjardins Group
4535,VISA,credit,Scotiabank,Scotiabank - Visa Card
4536,VISA,debit,Scotiabank,Scotiabank - Interac Debit Card
4537,VISA,credit,Scotiabank,Scotiabank - Visa Card
4538,VISA,credit,Scotiabank,Scotiabank - Visa Card
4540,VISA,credit,Desjardins,Carte d'accès Desjardins / VISA Desjardins
4544,VISA,credit,Laurentian,Banque Laurentienne du Canada / Laurentian Bank of Canada (CA) - Visa
